UID,movie,how_long_ago
265,Life Is Beautiful (La Vita è bella) (1997),1to5
265,Star Wars: Episode V - The Empire Strikes Back (1980),1
265,"Silence of the Lambs, The (1991)",1
265,Back to the Future Part III (1990),1
265,Monty Python and the Holy Grail (1975),1
268,Seven (a.k.a. Se7en) (1995),1to5
268,Forrest Gump (1994),1
268,Memento (2000),1to5
268,Pulp Fiction (1994),1
268,Mission: Impossible II (2000),1to5
268,Mulholland Drive (2001),1
268,Toy Story (1995),1to5
268,"Clockwork Orange, A (1971)",1to5
268,Pirates of the Caribbean: Dead Man's Chest (2006),1to5
268,Into the Wild (2007),1to5
263,Edward Scissorhands (1990),-1
263,"Pianist, The (2002)",1to5
263,Chinatown (1974),6to10
263,Seven (a.k.a. Se7en) (1995),1to5
263,Total Recall (1990),6to10
263,Die Hard (1988),1to5
263,Beauty and the Beast (1991),1
263,Kill Bill: Vol. 1 (2003),6to10
263,Billy Elliot (2000),1to5
263,Austin Powers: The Spy Who Shagged Me (1999),gt10
273,Men in Black (a.k.a. MIB) (1997),1to5
273,"Mask, The (1994)",6to10
273,American Beauty (1999),1to5
273,Batman (1989),6to10
273,"Lion King, The (1994)",6to10
273,Toy Story (1995),1to5
273,Jurassic Park (1993),1to5
273,Batman Forever (1995),6to10
273,Beauty and the Beast (1991),1to5
273,"Little Princess, A (1995)",1to5
275,"Lion King, The (1994)",6to10
275,Pretty Woman (1990),gt10
275,Beauty and the Beast (1991),1to5
275,Pi (1998),1to5
275,Pirates of the Caribbean: Dead Man's Chest (2006),1to5
275,Titanic (1997),1to5
275,Chinatown (1974),6to10
275,Taxi Driver (1976),1to5
275,"Wizard of Oz, The (1939)",6to10
275,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
276,Ace Ventura: When Nature Calls (1995),gt10
276,My Cousin Vinny (1992),6to10
276,Charlie's Angels (2000),6to10
276,Ace Ventura: Pet Detective (1994),gt10
276,Six Days Seven Nights (1998),1to5
276,"Blair Witch Project, The (1999)",1to5
276,Titanic (1997),6to10
276,Willy Wonka & the Chocolate Factory (1971),6to10
276,Toy Story (1995),gt10
276,Epic Movie (2007),gt10
277,Aliens (1986),1to5
277,Fargo (1996),1to5
277,Terminator 2: Judgment Day (1991),6to10
277,Fahrenheit 9/11 (2004),1to5
277,Pulp Fiction (1994),1to5
277,Amadeus (1984),6to10
277,Blue Velvet (1986),1to5
277,"Clockwork Orange, A (1971)",6to10
277,Saving Private Ryan (1998),1
277,Back to the Future (1985),1to5
278,Kill Bill: Vol. 2 (2004),1to5
278,Titanic (1997),1to5
278,"Mask, The (1994)",1to5
278,"Matrix, The (1999)",1to5
278,Into the Wild (2007),1
278,Braveheart (1995),1to5
278,Seven (a.k.a. Se7en) (1995),1to5
278,"Wizard of Oz, The (1939)",-1
278,Pirates of the Caribbean: The Curse of the Black Pearl (2003),1
278,Charlie's Angels (2000),1
279,Fahrenheit 9/11 (2004),6to10
279,Six Days Seven Nights (1998),1to5
279,Titanic (1997),gt10
279,Seven (a.k.a. Se7en) (1995),gt10
279,Pretty Woman (1990),6to10
279,Jurassic Park (1993),1to5
279,Twister (1996),gt10
279,"Mask, The (1994)",gt10
279,Kill Bill: Vol. 1 (2003),gt10
279,You've Got Mail (1998),1
282,Men in Black (a.k.a. MIB) (1997),1
282,Apocalypse Now (1979),gt10
282,Blade Runner (1982),1
282,"Goonies, The (1985)",1to5
282,Waterworld (1995),1to5
282,Austin Powers: The Spy Who Shagged Me (1999),1to5
282,Best in Show (2000),1to5
282,Batman Forever (1995),gt10
282,Mrs. Doubtfire (1993),gt10
282,"Godfather: Part II, The (1974)",gt10
283,Blade Runner (1982),gt10
283,Contact (1997),gt10
283,Toy Story (1995),gt10
283,Amadeus (1984),gt10
283,"American President, The (1995)",gt10
283,Saving Private Ryan (1998),gt10
283,Forrest Gump (1994),gt10
283,"Mask, The (1994)",gt10
283,Total Recall (1990),gt10
283,Die Hard (1988),gt10
288,"Godfather: Part II, The (1974)",6to10
288,Saving Private Ryan (1998),6to10
288,Toy Story (1995),gt10
288,Bend It Like Beckham (2002),6to10
288,Charlie's Angels (2000),gt10
288,Ace Ventura: When Nature Calls (1995),6to10
288,Into the Wild (2007),gt10
288,Jurassic Park (1993),6to10
292,My Cousin Vinny (1992),1
292,Apollo 13 (1995),1
292,While You Were Sleeping (1995),1to5
292,Pretty Woman (1990),1
292,Forrest Gump (1994),1
292,Contact (1997),1to5
292,Beauty and the Beast (1991),1to5
292,"Nightmare Before Christmas, The (1993)",1
292,"Day After Tomorrow, The (2004)",1
292,You've Got Mail (1998),1to5
295,Die Hard (1988),gt10
295,Batman Forever (1995),6to10
295,Apollo 13 (1995),6to10
295,Edward Scissorhands (1990),gt10
295,Kill Bill: Vol. 2 (2004),1to5
295,Aliens (1986),gt10
295,Dead Man Walking (1995),6to10
295,Terminator 2: Judgment Day (1991),6to10
295,Pi (1998),gt10
295,Hoop Dreams (1994),gt10
